Date	Price	Open	High	Low	Vol.	Change %
12-Mar-18	"33,917.94"	"33,468.16"	"33,962.48"	"33,468.16"	12.62K	1.83%
13-Mar-18	"33,856.78"	"33,818.22"	"34,077.32"	"33,722.96"	14.75K	-0.18%
14-Mar-18	"33,835.74"	"33,733.55"	"33,875.15"	"33,580.69"	9.63K	-0.06%
15-Mar-18	"33,685.54"	"33,843.47"	"33,866.28"	"33,637.28"	17.77K	-0.44%
16-Mar-18	"33,176.00"	"33,685.86"	"33,691.32"	"33,119.92"	13.08K	-1.51%
19-Mar-18	"32,923.12"	"33,268.97"	"33,275.79"	"32,856.54"	10.10K	-0.76%
20-Mar-18	"32,996.76"	"32,876.48"	"33,102.74"	"32,810.86"	15.12K	0.22%
21-Mar-18	"33,136.18"	"33,090.82"	"33,354.93"	"33,070.53"	10.37K	0.42%
22-Mar-18	"33,006.27"	"33,206.99"	"33,281.77"	"32,963.31"	13.29K	-0.39%
23-Mar-18	"32,596.54"	"32,650.89"	"32,720.03"	"32,483.84"	11.80K	-1.24%
26-Mar-18	"33,066.41"	"32,536.44"	"33,115.41"	"32,515.17"	16.90K	1.44%
27-Mar-18	"33,174.39"	"33,172.98"	"33,371.04"	"33,077.13"	15.63K	0.33%
28-Mar-18	"32,968.68"	"33,098.09"	"33,104.11"	"32,917.66"	12.72K	-0.62%
02-Apr-18	"33,255.36"	"33,030.87"	"33,289.34"	"32,997.88"	7.84K	0.87%
03-Apr-18	"33,370.63"	"33,197.42"	"33,402.94"	"33,153.83"	11.42K	0.35%
04-Apr-18	"33,019.07"	"33,437.52"	"33,505.53"	"32,972.56"	9.96K	-1.05%
05-Apr-18	"33,596.80"	"33,289.96"	"33,637.46"	"33,267.86"	11.35K	1.75%
06-Apr-18	"33,626.97"	"33,608.59"	"33,697.51"	"33,501.37"	11.09K	0.09%
09-Apr-18	"33,788.54"	"33,653.61"	"33,846.50"	"33,578.91"	38.57K	0.48%
10-Apr-18	"33,880.25"	"33,880.11"	"33,949.98"	"33,813.30"	14.04K	0.27%
11-Apr-18	"33,940.44"	"33,970.35"	"33,981.54"	"33,750.74"	9.56K	0.18%
12-Apr-18	"34,101.13"	"33,987.55"	"34,177.44"	"33,924.88"	6.83K	0.47%
13-Apr-18	"34,192.65"	"34,167.53"	"34,313.14"	"34,103.53"	8.63K	0.27%
16-Apr-18	"34,305.43"	"33,944.73"	"34,341.46"	"33,899.34"	7.29K	0.33%
17-Apr-18	"34,395.06"	"34,381.80"	"34,434.14"	"34,229.83"	10.71K	0.26%
18-Apr-18	"34,331.68"	"34,443.42"	"34,591.81"	"34,270.04"	8.54K	-0.18%
